deathtype,gene,description,gene_id,gene_biotype,pmid,comment
Pyroptosis,CHMP7,charged multivesicular body protein 7,ENSG00000147457.14,protein_coding,36818162,CHMP7 gene exhibited copy number variations and played a role in pyroptosis in skin cutaneous melanoma patients.
Pyroptosis,GSDMC,gasdermin C,ENSG00000147697.9,protein_coding,32929201,GSDMC mediates tumour necrosis following caspase-8 activation in tumour cells and provides valuable insights into the pyroptosis pathway in cancer cells in which the specific expression and distinct caspase-induced cleavage of a gasdermin family member could trigger pyroptosis.
Pyroptosis,ELANE,"elastase, neutrophil expressed",ENSG00000197561.7,protein_coding,29539421,"ELANE is an important protease, which is shown in this paper to promote cell death by cleaving Gasdermin D  in neutrophils. This type of cell death is achieved through a mechanism called pyroptosis which is a defense mechanism of the body against infection, effectively clearing bacteria injected into cells. "
Pyroptosis,IRF1,interferon regulatory factor 1,ENSG00000125347.15,protein_coding,36384204,"IRF1 is shown to be involved in pyroptosis by promoting NLRP3 inflammasome-mediated endothelial cell pyroptosis and the development of atherosclerosis. IRF1 enhances the activation of the NLRP3 inflammasome via its transcriptional activity, which leads to the activation of antigen transport protein 1 and the acceleration of Gasdermin D cleavage mediated by the Cascade factor. Additionally, IRF1 promotes Caspase-1-mediated GSDMD activation and cytokine IL-1¦Â release via its transcriptional activity. These two factors constitute the key elements for IRF1's promotion of both noninflammatory apoptosis. and inflammatory pyroptosis. Enhanced expression of IRF1 may lead to endothelial cell death, thereby further inducing atherosclerosis. "
Pyroptosis,CYCS,"cytochrome c, somatic",ENSG00000172115.9,protein_coding,37077542,"Pyroptosis is a newly discovered type of programmed cell death, and CYCS can be involved in the apoptotic process of pyroptosis."
Pyroptosis,GSDMA,gasdermin A,ENSG00000167914.12,protein_coding,35110732,"GAS cysteine protease SpeB triggers keratinocyte pyroptosis by cleaving GSDMA protein after Gln246, unleashing an active N-terminal fragment that triggers pyroptosis and recruits immune cells to infection sites to promote protective immunity. The cleavage of GSDMA triggers pore formation, which is a key mechanism for inflammatory cell death. Furthermore, the study revealed that SpeB cleaving GSDMA contributes to GAS localization in the epidermis and systemic dissemination, providing a simple one-molecule mechanism for host recognition and control of virulence of a dangerous microbial pathogen."
Pyroptosis,CASP4,caspase 4,ENSG00000196954.14,protein_coding,32109412,"Site-specific autoprocessing of Caspase-4/11 generates a p10 product that binds with high affinity to the GSDMD-C domain, facilitating cleavage of GSDMD and inducing Pyroptosis. Crystal structures of Caspase-4/11 and Caspase-1-GSDMD complexes revealed an exosite where the p10-form Caspase-4/11 hydrophobically binds GSDMD, promoting dimerization-mediated Caspase activation and cleavage independent of the tetrapeptide sequence."
Pyroptosis,BAK1,BCL2 antagonist/killer 1,ENSG00000030110.14,protein_coding,34656686,Chemotherapy drugs PTX+DDP can induce both apoptosis and Pyroptosis in breast cancer cells by acting on the BAK/BAX-caspase-3-GSDME pathway.
Pyroptosis,NOD1,nucleotide binding oligomerization domain containing 1,ENSG00000106100.11,protein_coding,34226539,"NOD1 is a Nod-like receptor protein that recognizes cell wall breakdown products caused by pathogenic bacteria and triggers an inflammatory response.NOD1 was found to be a prognostic factor related to lung adenocarcinoma and together with other pyroptosis-related genes such as CASP6, NLRP1, NLRP2, and NLRP7, constructed a pyroptosis-related genes prognostic model. The expression of NOD1 was positively correlated with the abundance of various immune cells."
Pyroptosis,NLRP7,NLR family pyrin domain containing 7,ENSG00000167634.12,protein_coding,34021586,"The activation of inflammasomes is responsible for the release of pro-inflammatory cytokines and the induction of a specialized form of inflammatory cell death. Inappropriate inflammasome responses due to NLRP7 mutations and defective regulation have been linked to a broad spectrum of human diseases, particularly reproductive diseases such as molar pregnancy."
Pyroptosis,CASP3,caspase 3,ENSG00000164305.20,protein_coding,34656686,CASP3 participates in pyroptosis by cleaving the NT domain of the GSDME protein to promote inflammasome-related lytic cell death.
Pyroptosis,GSDMB,gasdermin B,ENSG00000073605.19,protein_coding,35021065,"The study found that GSDMB expression is upregulated in IBD patients, particularly in inflamed colonocytes/crypt top colonocytes. However, cell analysis did not find GSDMB-dependent inflammatory cell death suggesting a potential function in cell proliferation, migration, and cell adhesion. "
Pyroptosis,GZMB,granzyme B,ENSG00000100453.14,protein_coding,32188940,"When NK cells or CD8+ T cells release GZMB, it cleaves GSDME and triggers Pyroptosis. Pyroptosis is associated with necrosis but, unlike typical necrosis, it releases intracellular actives that are tumor antigens and can stimulate the body's immune system to clear more tumor cells."
Pyroptosis,GSDME,gasdermin E,ENSG00000105928.16,protein_coding,33133646,"GSDME is an important Gasdermin protein that can induce cell death and promote the release of inflammatory factors. It mainly mediates Pyroptosis, a very important programmed cell death pathway that can inhibit cell proliferation and shrink tumors via GSDME. "
