deathtype,gene,description,gene_id,gene_biotype,pmid,comment
Necroptosis,RBCK1,RANBP2-type and C3HC4-type zinc finger containing 1,ENSG00000125826.22,protein_coding,36248876,"RBCK1 is highly expressed in ccRCC and regulates the immune suppressive microenvironment of tumors. In addition, RBCK1 can also promote chemoresistance and stemness in colorectal cancer."
Necroptosis,JAK2,Janus kinase 2,ENSG00000096968.14,protein_coding,31729527,"The release of CCL2 is necroptosis-dependent. CCL2 released by TAA can activate the Notch signaling pathway through the JAK2/STAT3 pathway, which directly maintains the stemness of MBSCs."
Necroptosis,ZBP1,Z-DNA binding protein 1,ENSG00000124256.15,protein_coding,36917643,"_BP1 is a protein that mediates Necroptosis, interacts with kinase RIPK3, and participates in forming necrosomes."
Necroptosis,RNF31,ring finger protein 31,ENSG00000092098.18,protein_coding,29728512,"RNF31, also known as HOIP, is associated with necroptosis. It is a key enzyme in the ribonuclease polymerase-induced cell death pathway."
Necroptosis,IFNB1,interferon beta 1,ENSG00000171855.7,protein_coding,23601685,"The relationship between IFNB1 and Necroptosis is that Poly IC stimulation of dendritic cells (DCs) induces Necroptosis through the signaling pathway mediated by IPS-1 and RIP-1, while also promoting the production of IFNB1."
Necroptosis,TRAF5,TNF receptor associated factor 5,ENSG00000082512.15,protein_coding,33555197,METTL3 enabled OX resistance in CRC cells by inhibiting TRAF5-mediated Necroptosis.
Necroptosis,BIRC2,baculoviral IAP repeat containing 2,ENSG00000110330.10,protein_coding,27469115,"Approximately 30% of HNSCC patients exhibit FADD/BIRC2 genomic amplification, which is correlated with HPV-negative HNSCC and worse prognosis."
Necroptosis,TRAF2,TNF receptor associated factor 2,ENSG00000127191.18,protein_coding,25882049,"TRAF2 inhibits Necroptosis by modulating the signaling complex containing receptor-interacting protein kinases RIPK1 and RIPK3 (the necrosome) and mixed lineage kinase-domain-like (MLKL), which drive the pro-inflammatory and membrane-disrupting activity of Necroptosis."
Necroptosis,BCL2,BCL2 apoptosis regulator,ENSG00000171791.14,protein_coding,31634424,"Fisetin can reduce the expression of the anti-apoptotic protein BCL2 and increase the levels of pro-apoptotic proteins Bax, caspase-3, and PARP in HepG2 cells, inducing cell death through apoptosis pathway, and can also induce cell death through necroptosis pathway, as evidenced by the increase of RIPK1, pRIPK1, RIPK3, pRIPK3, and MLKL molecules.Fisetin can activate RIPK1, pRIPK1, RIPK3, pRIPK3, and MLKL molecules by increasing TNF¦Á-induced ROS levels, thereby inducing necroptosis."
Necroptosis,STAT4,signal transducer and activator of transcription 4,ENSG00000138378.19,protein_coding,36518671,The STAT4 gene is mentioned to be related to Necroptosis. STAT4 deficiency has a protective effect against neointima formation following arterial injury in mice and is also involved in the development of cardiovascular diseases by regulating the differentiation and activation of Th1 cells.
Necroptosis,BIRC3,baculoviral IAP repeat containing 3,ENSG00000023445.16,protein_coding,22576661,BIRC3 limits the expression of Rip1 and Rip3 at the post-transcriptional level by regulating their activity.
